id,question,answer
110,Is a problem instance typically characterized as abstract or concrete?,concrete
111,What is another name for any given measure of input associated with a problem?,instances
112,What is the general term used to describe the output to any given input in a problem instance?,solution
113,By how many kilometers does the traveling salesman problem seek to classify a route between the 15 largest cities in Germany?,2000
114,What is one example of an instance that the quantitative answer to the traveling salesman problem fails to answer?,round trip through all sites in Milan
115,What does computational complexity theory most specifically seek to answer? ,computational problems
116,"In a computational problem, what can be described as a string over an alphabet?",problem instance
117,What is the name of the alphabet is most commonly used in a problem instance?,binary alphabet
118,What is another term for the string of a problem instance?,bitstrings
119,"In the encoding of mathematical objects, what is the way in which integers are commonly expressed?",binary notation
120,What is one way in which graphs can be encoded? ,adjacency matrices
121,What kind of problems are one of the main topics studied in computational complexity theory?,Decision problems
122,What are the two simple word responses to a decision problem?,yes or no
123,What are the two integer responses to a decision problem?,1 or 0
124,What will the output be for a member of the language of a decision problem?,yes
125,What answer denotes that an algorithm has accepted an input string?,yes
126,What kind of graph is an example of an input used in a decision problem?,arbitrary graph
127,What is the term for the set of all connected graphs related to this decision problem?,formal language
128,What encoding decision needs to be made in order to determine an exact definition of the formal language?,how graphs are encoded as binary strings
129,A function problem is an example of what?,a computational problem
130,How many outputs are expected for each input in a function problem?,a single output
131,The traveling salesman problem is an example of what type of problem?,A function problem
132,"In addition to the traveling salesman problem, what is another example of a function problem?",the integer factorization problem
133,Is the output of a functional problem typically characterized by a simple or complex answer?,complex
134,How can function problems typically be restated?,decision problems
135,"If two integers are multiplied and output a value, what is this expression set called?",set of triples
136,What is a commonly used measurement used to determine the complexity of a computational problem?,how much time the best algorithm requires to solve the problem
137,What is one variable on which the running time may be contingent?,the instance
138,How is the time needed to obtain the solution to a problem calculated?,as a function of the size of the instance
139,In what unit is the size of the input measured?,bits
140,Complexity theory seeks to define the relationship between the scale of algorithms with respect to what other variable?,an increase in the input size
141,Whose thesis states that the solution to a problem is solvable with reasonable resources assuming it allows for a polynomial time algorithm?,Cobham's thesis
142,"If input size is is equal to n, what can respectively be assumed is the function of n?",the time taken
143,What term corresponds to the maximum measurement of time across all functions of n? ,worst-case time complexity
144,How is worst-case time complexity written as an expression?,T(n)
145,"Assuming that T represents a polynomial in T(n), what is the term given to the corresponding algorithm?",polynomial time algorithm
146,What is the term for a mathematical model that theoretically represents a general computing machine?,A Turing machine
147,It is generally assumed that a Turing machine can solve anything capable of also being solved using what?,an algorithm
148,What is the most commonplace model utilized in complexity theory?,the Turing machine
149,What does a Turing machine handle on a strip of tape?,symbols
150,What is generally considered to be the most basic iteration of a Turing machine?,A deterministic Turing machine
151,What fixed set of factors determine the actions of a deterministic Turing machine,rules
152,What is the term used to identify a deterministic Turing machine that has additional random bits?,A probabilistic Turing machine
153,What type of Turing machine is capable of multiple actions and extends into a variety of computational paths?,A non-deterministic Turing machine
154,What is the term given to algorithms that utilize random bits?,randomized algorithms
155,Turing machines are commonly employed to define what? ,complexity classes
156,What are two factors that directly effect how powerful a Turing machine may or may not be?,time or space
157,"In the determination of complexity classes, what are two examples of types of Turing machines?","probabilistic Turing machines, non-deterministic Turing machines"
158,What is an example of a machine model that deviates from a generally accepted multi-tape Turing machine?,random access machines
159,"In considering Turing machines and alternate variables, what measurement left unaffected by conversion between machine models? ",computational power
160,What two resources commonly consumed by alternate models are typically known to vary?,time and memory
161,"What commonality do alternate machine models, such as random access machines, share with Turing machines?",the machines operate deterministically
162,What type of Turing machine can be characterized by checking multiple possibilities at the same time?,non-deterministic
163,What often affects or facilitates ease of analysis in computational problems?,unusual resources
164,A non-deterministic Turing machine has the ability to capture what facet of useful analysis?,mathematical models
165,What is the most critical resource in the analysis of computational problems associated with non-deterministic Turing machines?,time
166,The time required to output an answer on a deterministic Turing machine is expressed as what?,state transitions
167,Complexity theory classifies problems based on what primary attribute?,difficulty
168,What is the expression used to identify any given series of problems capable of being solved within time on a deterministic Turing machine?,DTIME(f(n))
169,What is the most critical resource measured to in assessing the determination of a Turing machine's ability to solve any given set of problems?,time
170,Time and space are both examples of what type of resource?,complexity resources
171,A complexity resource can also be described as what other type of resource?,computational resource
172,What is typically used to broadly define complexity measures?,Blum complexity axioms
173,Communication complexity is an example of what type of measure?,Complexity measures
174,Decision tree is an example of what type of measure?,Complexity measures
175,What are the three primary expressions used to represent case complexity?,"best, worst and average"
176,Case complexity likelihoods provide variable probabilities of what general measure? ,complexity measure
177,What is one common example of a critical complexity measure?,time
178,Case complexities provide three likelihoods of what differing variable that remains the same size? ,inputs
179,What provides a solution to a list of integers provided as input that ned to be sorted?,deterministic sorting algorithm quicksort
180,"When extensive time is required to sort integers, this represents what case complexity?",worst-case
181,What is the expression used to denote a worst case complexity as expressed by time taken?,O(n2)
182,Classification of resources is contingent on determining the upper and lower bounds of minimum time required by what?  ,the most efficient algorithm
183,The analysis of a specific algorithm is typically assigned to what field of computational science?,analysis of algorithms
184,Which bound of time is more difficult to establish?,lower bounds
185,A specific algorithm demonstrating T(n) represents what measure of time complexity?,upper bound
186,What is the colloquial phrase used to convey the continuum of algorithms with unlimited availability irrespective of time? ,all possible algorithms
187,What expression is generally used to convey upper or lower bounds?,big O notation
188,What does a big O notation hide?,constant factors and smaller terms
189,How would one write T(n) = 7n2 + 15n + 40 in big O notation? ,T(n) = O(n2)
190,Big O notation provides autonomy to upper and lower bounds with relationship to what? ,the computational model
191,What has complicated definitions that prevent classification into a framework?,complexity classes
192,Complexity classes are generally classified into what?,framework
193,Difficulty in establishing a framework for complexity classes can be caused by what variable?,complicated definitions
194,Concrete bounding of computation time frequently produces complexity classes contingent upon what?,chosen machine model
195,A multi-tape Turing machine requires what type of time for a solution?,linear time
196,A language solved in quadratic time implies the use of what type of Turing machine?,single-tape Turing machines
197,What thesis specifies that a polynomial relationship exists within time complexities in a computational model? ,Cobham-Edmonds thesis
198,Decision problems capable of being solved by a deterministic Turing machine while maintaining adherence to polynomial time belong to what class?,complexity class P
199,What are two examples of measurements are bound within algorithms to establish complexity classes?,time or space
200,What function is used by algorithms to define measurements like time or space?,bounding
201,Bounding of time and space or similar measurements is often used by algorithms to define what?,complexity classes
202,What are three examples of complexity classes associated with definitions established by probabilistic Turing machines?,"BPP, ZPP and RP"
203,AC and NC are complexity classes typically associated with what type of circuit?,Boolean
204,BQP and QMA are examples of complexity classes most commonly associated with what type of Turing machine?,quantum
205,What is the expression used to represent a complexity class of counting problems?,#P
206,IP and AM are most commonly defined by what type of proof system?,Interactive
207,What is an example of a measurement within a complexity class that would create a bigger set of problems if the bounds were relaxed?,computation time
208,In what expression can one expect to find DTIME(n),DTIME(n2)
209,What theorems are responsible for determining questions of time and space requirements?,time and space hierarchy theorems
210,Resources are constrained by hierarchy theorems to produce what?,a proper hierarchy on the classes defined
211,What kind of statement is made in the effort of establishing the time and space requirements needed to enhance the ultimate number of problems solved?,quantitative statements
212,What is the foundation for separation results within complexity classes?,time and space hierarchy theorems
213,What is responsible for constraining P according to the time hierarchy theorem?,EXPTIME
214,Within what variable is L constrained according to the space hierarchy theorem?,PSPACE
215,What concept is frequently used to define complexity classes?,reduction
216,Reduction essentially takes one problem and converts into what?,another problem
217,"According to reduction, if X and Y can be solved by the same algorithm then X performs what function in relationship to Y?",reduces
218,What are two examples of different types of reduction?,Karp reductions and Levin reductions
219,Polynomial time reductions are an example of what?,the bound on the complexity of reductions
220,What is the most frequently employed type of reduction?,polynomial-time reduction
221,What equates to a squared integer according to polynomial time reduction?,multiplying two integers
222,What measurement of time is used in polynomial time reduction?,polynomial time
223,What would need to remain constant in a multiplication algorithm to produce the same outcome whether multiplying or squaring two integers?  ,input
224,According to polynomial time reduction squaring can ultimately be logically reduced to what?,multiplication
225,The complexity of problems often depends on what?,the type of reduction being used
226,What would create a conflict between a problem X and problem C within the context of reduction? ,if every problem in C can be reduced to X
227,An algorithm for X which reduces to C would us to do what?,solve any problem in C
228,A problem set that that is hard for the expression NP can also be stated how?,NP-hard
229,The hardest problems in NP can be analogously written as what class of problems?,NP-complete
230,NP complete problems contain the lowest likelihood of being located in what problem class?,NP
231,"If P = NP is unsolved, and reduction is applied to a known NP-complete problem vis a vis Π2 to  Π1, what conclusion can be drawn for Π1?",there is no known polynomial-time solution
232,"If polynomial time can be utilized within an NP-complete problem, what does the imply P is equal to?",NP
233,What complexity class is characterized by a computational tasks and efficient algorithms?,P
234,What hypothesis is associated with the complexity class of P viewed as a mathematical abstraction with efficient algorithmic functionality?,Cobham–Edmonds thesis
235,What complexity class is commonly characterized by unknown algorithms to enhance solvability?,NP
236,What is an example of a problem that rests within the NP complexity class?,Boolean satisfiability problem
237,In what theoretical machine is it confirmed that a problem in P belies membership in the NP class?,Turing machines
238,"If P is ultimately proven to be equal tot NP, what effect would this have on the efficiency of problems?",more efficient solutions
239,What is a particular problem in biology that would benefit from determining that P = NP?,protein structure prediction
240,What is the prize offered for finding a solution to P=NP?,"$1,000,000"
241,Who demonstrated that P= NP implies problems not present in P or NP-complete?,Ladner
242,What is the name for a problem that meets Ladner's assertion?,NP-intermediate problems
243,What is an example of an NP-intermediate problem not known to exist in P or NP-complete? ,graph isomorphism problem
244,What is the problem attributed to defining if two finite graphs are isomorphic?,The graph isomorphism problem
245,What class is most commonly not ascribed to the graph isomorphism problem in spite of definitive determination?,NP-complete
246,What finite hierarchy implies that the graph isomorphism problem is NP-complete? ,polynomial time hierarchy
247,To what level would the polynomial time hierarchy collapse if graph isomorphism is NP-complete?,second level
248,Who are commonly associated with the algorithm typically considered the most effective with respect to finite polynomial hierarchy and graph isomorphism?,Laszlo Babai and Eugene Luks
249,What computational problem is commonly associated with prime factorization?,The integer factorization problem
250,The integer factorization problem essentially seeks to determine if the value of of an input is less than what variable? ,k
251,That there currently exists no known integer factorization problem underpins what commonly used system?,modern cryptographic systems
252,What is the most well-known algorithm associated with the integer factorization problem?,the general number field sieve
253,What is the unproven assumption generally ascribed to the value of complexity classes?,suspected to be unequal
254,What is an expression that can be used to illustrate the suspected inequality of complexity classes?,P ⊆ NP ⊆ PP ⊆ PSPACE
255,"Where can the complexity classes RP, BPP, PP, BQP, MA, and PH be located?",between P and PSPACE
256,What evidence between and among complexity classes would signify a theoretical watershed for complexity theory?,Proving that any of these classes are unequal
257,In what complexity class do complement problems of NP problems exist?,co-NP
258,How do the yes/no answers of a complement problem of NP appear?,reversed
259,What is commonly believed to be the value relationship between P and co-NP,not equal
260,What implication can be derived for P and NP if P and co-NP are established to be unequal?,P is not equal to NP
261,What variable is associated with all problems solved within logarithmic space?,L
262,"Though unkown, what are the most commonly ascribed attributes of L in relation to P",strictly contained in P or equal to P
263,What lies between L and P that prevents a definitive determination of the relationship between L and P?,complexity classes
264,What are two complexity classes between L and P?,NL and NC
265,What is unknown about the complexity classes between L and P that further prevents determining the value relationship between L and P?,if they are distinct or equal classes
266,Problems capable of theoretical solutions but consuming unreasonable time in practical application are known as what?,intractable problems
267,Intractable problems lacking polynomial time solutions necessarily negate the practical efficacy of what type of algorithm?,exponential-time algorithms
268,"If NP is not equal to P, viewed through this lens, what type of problems can also be considered intractable?",NP-complete problems
269,What eponymous variation of arithmetic presents a decision problem not evidenced in P?,Presburger arithmetic
270,"Despite the Presburger problem, and in view of intractability, what has been done to establish solutions in reasonable periods of time?",algorithms have been written
271,What is an example of a problem to which effective algorithms have provided a solution in spite of the intractability associated with the breadth of sizes?,NP-complete knapsack problem
272,How quickly can an algorithm solve an NP-complete knapsack problem?,in less than quadratic time
273,What is the example of another problem characterized by large instances that is routinely solved by SAT handlers employing efficient algorithms?,NP-complete Boolean satisfiability problem
274,What tactic did researchers employ to offset the former deficit of work surrounding the complexity of algorithmic problems?,foundations were laid out
275,Who was the most influential researcher among those grappling with the deficit of work surrounding the complexity posed by algorithmic problems?,Alan Turing
276,What theoretical device is attributed to Alan Turing?,Turing machines
277,In what year was the Alan Turing's definitional model of a computing device received?,1936
278,In the most basic sense what did a Turing machine emulate?,a computer
279,What paper is commonly considered the bellwether ushering in systematic studies computational complexity?,On the Computational Complexity of Algorithms
280,"What individuals were responsible for authoring ""On the Computational Complexity of Algorithms""?",Juris Hartmanis and Richard Stearns
281,In what year was Hatmanis and Stearn's seminal work in computational complexity received? ,1965
282,"What complex measurements were defined by ""On the Computational Complexity of Algorithms""?",time and space
283,"In what year did Edmond's characterize a ""good"" algorithm?",1965
284,Who provided a definition of linear bounded automata in 1960?,John Myhill
285,In what year did Raymond Sullivan publish a study of rudimentary sets?,1961
286,"In 1962, who was responsible for the authorship of a paper published on real time-computations?",Hisao Yamada
287,What is the concrete choice typically assumed by most complexity-theoretic theorems?,input encoding
288,"In the effort of maintaining a level of abstraction, what choice is typically left independent?",encoding
289,Who is responsible for axiomatic complexity theory?,Manuel Blum
290,What theorem was implicated by Manuel Blum's axioms?,speed-up theorem
291,What is the paper written by Richard Karp in 1972 that ushered in a new era of understanding between intractability and NP-complete problems?,"""Reducibility Among Combinatorial Problems"""
292,"How many combinatory and graph theoretical problems, formerly believed to be plagued by intractability, did Karp's paper address?",21
293,What is Southern California often abbreviated as?,SoCal
294,"Despite being traditionall described as ""eight counties"", how many counties does this region actually have?",10 counties
295,What is a major importance of Southern California in relation to California and the United States?,economic center
296,"What are the ties that best described what the ""eight counties"" are based on?",demographics and economic ties
297,The reasons for the las two counties to be added are based on what?,historical political divisions
298,What is the name of the region that is not defined by the eight or 10 county definitions?,Southern California Megaregion
299,How many megaregions are there in the United States?,11
300,What is the name of the state that the megaregion expands to in the east?,Nevada
301,Which border does the megaregion extend over?,Mexican
302,What is the name of the area past the border that the megaregion extends into?,Tijuana
303,Which coastline does Southern California touch?,Pacific
304,How many metropolitan areas does Southern California's population encompass?,seven
305,How many inhabitants does the Los Angeles area contain?,12 million
306,Which of the three heavily populated areas has the least number of inhabitants?,San Diego
307,How many people does the Greater Los Angeles Area have?,17.5 million
308,What is the name of the water body that is found to the east?,Colorado River
309,What is the name of the desert on the border of Arizona?,Colorado Desert
310,What is the name of the desert near the border of Nevada?,Mojave Desert
311,What is the name of the border to the south?,Mexico–United States border
312,The cities of Los Angeles and San Diego are a part of which state?,California
313,What is the population of Los Angeles?,"3,792,621"
314,Which city is the most populous in California?,Los Angeles
315,What is the eighth most populous city in the nation?,San Diego
316,In which cardinal direction from Los Angeles is San Diego?,south
317,"Orange, San Diego, Riverside and San Bernardino make up four of the five counties. What is the name of the last county?",Los Angeles
318,What country are all the counties in?,United States
319,"What are Los Angeles, Orange, San Diego, San Bernardino and Riverside?",counties
320,What is the lowest ranking one of the counties could have in terms of most populous counties in the United States?,15
321,What is the smallest geographical region discussed?,counties
322,What is the name given to the district that is associated with the motion picture industry?,Hollywood
323,Which city does the Hollywood district belong to?,Los Angeles
324,Which company owns ABC?,The Walt Disney Company
325,"Other than the motion picture and television industry, what other major industry is centered in Los Angeles?",music
326,"Other than Universal and Warner Brothers, what other company runs a major record company?",Sony
327,"Other than surf, what other culture is southern California home to?",skateboard
328,What is the name of the professional skateboarder that lives in southern California?,Tony Hawk
329,What famous snowbaorder lives in southern California?,Shaun White
330,Southern California is second to which island in terms of famous serf breaks?,Oahu
331,What is the shortened name of the annual yacht race that takes place?,Transpac
332,What is the name of the desert city?,Palm Springs
333,Other than the desert city why do many locals and tourists frequent southern California?,beaches
334,Which region of California is Palm Springs located in?,southern
335,"Other than for its resort feel, what is Palm Springs popular for?",open spaces
336,"Geographically speaking, where is California's north - south midway point in terms of latitude?","37° 9' 58.23"""
337,How many miles south of San Jose is the north - south midway point located?,11
338,"The term ""southern"" California usually refers to how many of the southern-most counties of the state?",ten
339,"Other than Point Conception, what landmark is used in the other definition of southern California?",Tehachapi Mountains
340,Point Conception is an example of a landmark among what boundary of southern California?,northern
341,Which country used to rule California?,Mexico
342,Los Angeles is in the lower part of what?,Alta California
343,Which Californio is located in the upper part?,Monterey
344,What was the name of the legislation passed in 1850?,the Missouri Compromise
345,The legislation allowed California to be admitted to the Union as what kind of state?,free
346,"Other than land laws, what else were the Californios dissatisfied with?",inequitable taxes
347,What was the name given to the regions in which the pro - slavery southerners lived?,Cow Counties
348,How many times did southern California attempt to achieve a separate statehood?,three
349,What was the percentage of people that voted in favor of the Pico Act of 1859?,75
350,Which Senator was a strong advocate for the Pico Act?,Milton Latham
351,Which newspaper defined southern California?,Los Angeles Times
352,In which year did the newspaper define southern California?,1900
353,In which year did the newspaper change its previous definition?,1999
354,What was the newer county added to the list?,Imperial
355,How many counties initially made up the definition of southern California?,seven
356,Which organizations most commonly divide and promote the state?,regional tourism groups
357,"Other than the Automobile Club of Southern California, what other AAA Auto Club chose to simplify the divide?",California State Automobile Association
358,The two AAA clubs divided the state into a northern and southern California as opposed to what point of view?,three-region
359,Which mountain range influenced the split of the regions?,Tehachapis
360,"In the definition based off the mountain range, which region would the desert portions of north Los Angeles County be included in?",southern
361,Where does southern California's megalopolis standard in terms of population nationwide?,third
362,"Although southern california consts of a heavily developed urban environment, how much of it has been left undeveloped?",vast areas
363,"Southern Californian communities are well known to be large, spread - out, and what other characteristic?",suburban
364,"Outside of its use of automobiles, what else is southern California famous for using?",highways
365,What kind of region can be found inside the urban area of southern California?,international metropolitan
366,What is the main gap to continued urbanization?,Camp Pendleton
367,"Other than the San Diego metropolitan area, what other area are the communities along Interstates 15 and 215 connected with?",Inland Empire
368,Who considers Los Angeles County to be a separate metropolitan area?,United States Census Bureau
369,Other than L.A. which other county do many people commute to?,Orange
370,"Other than the 1980s, in which decade did most of San Bernardino and Riverside Counties develop?",1990s
371,What kind of climate does southern California maintain?,Mediterranean
372,"Other than many sunny days, what characteristic is typical for the climate in souther California?",infrequent rain
373,What is the low end of the temperature range in summer?,60's
374,How frequent is snow in the Southwest of the state?,very rare
375,What is the high end of the temperature range in winter?,70
376,What term best describes southern California's collection of landscapes?,varied
377,The region spans starting at islands found in which body of water?,Pacific Ocean
378,What type of landscapes other than geologic and natural ecosystem landscapes can be found in southern California?,topographic
379,The region spans which mountains other than the Transverse ranges?,Peninsular
380,The mountain ranges tail off into what kind of geographical formation?,valleys
381,How many earthquakes does southern California experience in a year?,"10,000"
382,"Generally speaking, what size are the earthquakes that hit southern California?",small
383,What magnitude was the 1994 Northridge earthquake?,6.7
384,What kind of destruction did the 1994 earthquake cause the most of in US history?,property damage
385,How much was the 1994 earthquake estimated to have cost?,$20 billion
386,Which fault can produce a magnitude earthquake of 8.0?,San Andreas
387,What magnitude of earthquake can many faults produce?,6.7
388,"Other than the San Jacinto Fault, and the Elsinore Fault, name one other fault.",Puente Hills
389,Which organization released a California Earthquake forecast?,USGS
390,The earthquake forecast models what features of earthquakes in California?,occurrence
391,"Southern California's distinctive regions are divided culturally, politically and what other trait?",economically
392,"Outside of national recognition, what other kind of recognition do some of the cities get?",global
393,Cities that anchor the regions are often the hub for what kind of activity?,economic
394,"Southern California had a population of 22,680,010 according to the census from which year?",2010
395,What does southern California have a reputation for?,high growth rates
396,What is the state average growth rate?,10.0%
397,What kind of economy did northern California start to grow in the 2000s?,tech-oriented
398,Which region began to grow and assert itself in the 2000s?,Greater Sacramento
399,What is the name associated with the eight areas that make up a part of southern California?,Metropolitan Statistical Areas
400,How many extended metropolitan areas are there?,two
401,Each of the extended metropolitan areas has a population that exceeds what number?,five million
402,What does the El Centro metropolitan area and San Diego-Carslbad-San Marcos metropolitan area form?,Southern Border Region
403,What is the population of the Greater Los Angeles Area?,"17,786,419"
404,What is the largest city in all of California?,Los Angeles
405,What is the population of the second largest city in California?,1.3 million
406,"How many cities in southern California have over 200,000 residents?",twelve
407,There are 34 cities in southern California that have a population exceeding what number?,"100,000"
408,"Other than San Bernardino, which other developed southern Californian city is not in close proximity to the coast?",Riverside
409,What resource is the economy of southern California depedent on?,petroleum
410,Southern California is most famous for tourism and what notably named district?,Hollywood
411,The region was a leader in what event between 2001 - 2007?,the housing bubble
412,Southern California's economy can be described as one of the largest in the United States and what other characteristic?,diverse
413,What was the effect of the housing crash on the region?,heavily impacted
414,"Motion pictures, petroleum and aircraft manufacturing have been major industries since which decade?",1920s
415,What characteristic best describes the agricultural regions that could be found?,richest
416,Which type of livestock was the argricultural region known for?,cattle
417,"Outside of livestock, what else was considered a major industry in the agriculture regions?",citrus
418,What industry has managed to survive major military spending cutbacks?,aerospace
419,What type of district is southern California home to many of?,business
420,What does CBD stand for?,Central business districts
421,"What is the only district in the CBD to not have ""downtown"" in it's name?",South Coast Metro
422,Downtown Burbank is an example of what kind of district?,business
423,Downtown Santa Monica and Downtown Glendale are a part of which area?,Los Angeles Area
424,Warner Center is located in which area?,San Fernando Valley
425,Century City is an example of a district that belongs to which city?,Los Angeles
426,The Sand Bernardino - Riverside area maintains what kind of district?,business
427,"Other than San Bernardino, what is the name of the other city that maintains the districts including University Town?",Riverside
428,"Other than Downtown San Bernardino, and University Town, what is the name of another business district in the San Bernardino-Riverside area?",Hospitality Business/Financial Centre
429,Which county is developing its business center?,Orange
430,Where are international corporations headquartered?,"University of California, Irvine"
431,Jamboree Business Parks belongs to which business center?,West Irvine
432,What other business district does Orange County envelop outside of Downtown Santa Ana and Newport Center?,South Coast Metro
433,At what rate is Orange County developing its business centers?,rapidly
434,What is the central business district of San Diego?,Downtown San Diego
435,"Other than its main central  business district, where are the majority of San Diego's business districts located?",Northern San Diego
436,"Outside of Northern San Diego, which other region contains business districts?",North County
437,University City is an example of a business district located in which city?,San Diego
438,What is the second busiest airport in the United States?,Los Angeles International Airport
439,What is the metric they use to determine how busy airports are?,passenger volume
440,What ranking in terms of busiest airports from international passenger volume is the Los Angeles International Airport?,third
441,Which airport is home to the busiest single runway in the world?,San Diego International Airport
442,What is the world's busiest general aviation airport?,Van Nuys Airport
443,What is the name of the commuter rail system?,Metrolink
444,How many lines does the commuter rail system have?,seven
445,How many lines run out of Downtown Los Angeles?,Six
446,"A single line connects San Bernardino, Riverside and what other county?",Orange
447,What is the United States busiest commercial port?,Port of Los Angeles
448,What is the second busiest container port in the United States?,Port of San Diego
449,The Port of Long Beach belongs to which region of California?,Southern
450,What is the moniker that is being used to describe the region's diversified technology?,The Tech Coast
451,What kind of universities is the region famous for?,research
